Items,group,Code_item,Son,Question,Answer1,Answer2,Audio1,Audio2
1,A,MAN-F1-Q-Preference,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F1-Q-Preference.wav,你更喜欢喝什么？,Natural,Odd,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F1-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F1-A-Right.wav
1,B,MAN-F1-Q-Preference,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F1-Q-Preference.wav,你更喜欢喝什么？,Natural,Odd,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F1-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F1-A-Right.wav
1,C,MAN-F1-Q-Preference,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F1-Q-Preference.wav,你更喜欢喝什么？,Natural,Odd,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F1-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F1-A-Right.wav
2,A,MAN-F2-Q-Preference,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F2-Q-Preference.wav,你平时更喜欢吃什么水果？,Odd,Natural,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F2-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F2-A-Right.wav
2,B,MAN-F2-Q-Preference,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F2-Q-Preference.wav,你平时更喜欢吃什么水果？,Odd,Natural,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F2-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F2-A-Right.wav
2,C,MAN-F2-Q-Preference,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F2-Q-Preference.wav,你平时更喜欢吃什么水果？,Odd,Natural,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F2-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F2-A-Right.wav
3,A,MAN-F3-Q-Preference,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F3-Q-Preference.wav,周末你更喜欢做什么？,Natural,Odd,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F3-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F3-A-Right.wav
3,B,MAN-F3-Q-Preference,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F3-Q-Preference.wav,周末你更喜欢做什么？,Natural,Odd,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F3-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F3-A-Right.wav
3,C,MAN-F3-Q-Preference,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F3-Q-Preference.wav,周末你更喜欢做什么？,Natural,Odd,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F3-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F3-A-Right.wav
4,A,MAN-F4-Q-Preference,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F4-Q-Preference.wav,你更想去哪儿旅行？,Odd,Natural,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F4-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F4-A-Right.wav
