Items,group,,Code_item,Son,Question,Answer1,Answer2,Audio1,Audio2
1,A,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/,MAN-1-Q-Focus,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-1-Q-Focus.wav,是 哪 道 菜，张三 刚 吃 过？,Focus,Topic,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-1-A-Focus.wav,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-1-A-Topic.wav
1,B,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/,MAN-1-Q-Topic,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-1-Q-Topic.wav,哪 道 菜，张三 刚 吃 过？,Focus,Topic,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-1-A-Focus.wav,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-1-A-Topic.wav
1,C,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/,MAN-1-Q-TopicM,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-1-Q-TopicM.wav,是 哪 道 菜，张三 刚 吃 过？,Focus,Topic,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-1-A-Focus.wav,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-1-A-Topic.wav
2,A,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/,MAN-2-Q-Focus,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-2-Q-Focus.wav,哪 个 人，李明 邀请 过？,Topic,Focus,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-2-A-Topic.wav,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-2-A-Focus.wav
2,B,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/,MAN-2-Q-TopicM,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-2-Q-TopicM.wav,是 哪 个 人，李明 邀请 过？,Topic,Focus,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-2-A-Topic.wav,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-2-A-Focus.wav
2,C,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/,MAN-2-Q-Topic,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-2-Q-Topic.wav,哪 个 人，李明 邀请 过？,Topic,Focus,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-2-A-Topic.wav,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-2-A-Focus.wav
3,A,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/,MAN-3-Q-Topic,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-3-Q-Topic.wav,是 哪 本 书，张三 刚 看 过？,Focus,Topic,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-3-A-Focus.wav,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-3-A-Topic.wav
3,B,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/,MAN-3-Q-TopicM,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-3-Q-TopicM.wav,哪 本 书，张三 刚 看 过？,Focus,Topic,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-3-A-Focus.wav,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-3-A-Topic.wav
3,C,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/,MAN-3-Q-Focus,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-3-Q-Focus.wav,是 哪 本 书，张三 刚 看 过？,Focus,Topic,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-3-A-Focus.wav,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-3-A-Topic.wav
4,A,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/,MAN-4-Q-Topic,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-4-Q-Topic.wav,哪 门 课，李明 之前 上 过？,Topic,Focus,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-4-A-Topic.wav,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-4-A-Focus.wav
